wod1,wod2
Overhead Squat 3-3-3-3-3 reps,Post loads to comments.
"Complete as many rounds as possible in 10 minutes of:
185 pound Deadlift, 5 reps
Sprint 100 yards",Post rounds completed to comments.
"Complete as many rounds as possible in 15 minutes of:
15 Chest to bar pull-ups
30 second Ring L-sit hold",Post rounds completed to comments.
Rest Day,
CrossFit Games Open 13.1,"Proceed through the sequence below completing as many reps as possible in 17 minutes of:
40 Burpees
75 pound Snatch, 30 reps
30 Burpees
135 pound Snatch, 30 reps
20 Burpees
165 pound Snatch, 30 reps
10 burpees
210 pound Snatch, as many reps as possible"
"Two rounds for time of:
Run 400 meters
Handstand walk 15 meters
Run 400 meters
One legged squat, 30 reps",Post time to comments.
"""Adrian""","Seven rounds for time of:
3 Forward rolls
5 Wall climbs
7 Toes to bar
9 Box jumps, 30"" box"
Rest Day,
Complete as many reps as possible in 30 minutes of:,Rope climbs and push-ups
"Three rounds for time of:
Run 200 meters
100 meter Walking lunge
50 Squats",Post time to comments.
"For time:
30 Muscle-ups, bailing forward",Post time to comments.
Rest Day,
Run 5K,Post time to comments.
"""Zeus""","Three rounds for time of:
30 Wall ball shots, 20 pound ball
75 pound Sumo deadlift high-pull, 30 reps
30 Box jump, 20"" box
75 pound Push press, 30 reps
Row 30 calories
30 Push-ups
Body weight Back squat, 10 reps"
"""Grace""
For time:
135 pound Clean and Jerk, 30 reps",OR
Rest Day,
"Seven rounds of:
35 Double-unders
1 Snatch",Make one snatch attempt per round.
"""Hamilton""","Three rounds for time of:
Row 1000 meters
50 Push-ups
Run 1000 meters
50 Pull-ups"
"12-9-6-3 reps for time of:
95 pound Power snatch
Burpee",Lindsey Valenzuela 4:13 (95lbs). Post time to comments.
Rest Day,
Push press 3-3-3-3-3-3-3 reps,Post loads to comments.
Back Squat 5-5-5-5-5 reps,Post loads to comments.
"Complete as many rounds as possible in 15 minutes of:
10 Kettlebell swings, 2 pood
10 Box jumps, 24 inch box
10 Ring dips",Ruth Anderson Horrell 10 rounds + 9 jumps (24kg KB). Post rounds completed to comments.
Hope For Kenya workout is today!,"Complete as many rounds and reps as possible in 12 minutes of:
50 Squats
30 Push-ups
15 Pull-ups"
"Seven rounds for time of:
155 pound Push jerk, 7 reps
7 Chest to bar pull-ups
7 Burpees","Scott Panchik 6:00, Julie Foucher 6:43 (105lb PJ). Post time to comments."
Power clean 1-1-1-1-1-1-1 reps,Post loads to comments.
"""Hortman""","Complete as many rounds as possible in 45 minutes of:
Run 800 meters
80 Squats
8 Muscle-ups"
Rest Day,
"""Jackie""","1000 meter row
45 pound Thruster, 50 reps
30 pull-ups"
Hang squat clean 2-2-2-2-2-2-2 reps,Post loads to comments.
"Two rounds for time of:
100 Double-unders
95 pound barbell, Shoulder to overhead, 50 reps
25 Toes to bar",Post time to comments.
Rest Day,
"Complete as many rounds as possible in seven minutes of:
315 pound Deadlift, 7 reps
20 meter Sprint
14 One legged squats
21 Double-unders
20 meter Sprint",Post rounds completed to comments.
"Three rounds for time of:
Run 800 meters
Rest 2 minutes","Jason Hoggan 2:43, 2:42, 2:53. Post time to comments."
"For time:
205 pound Front squat, 20 reps
30 Box jump, 30 inch box
40 Kettlebell swings, 1.5 pood
50 Wall ball shots, 20 pound ball",Austin Malleolo 5:25. Post time to comments.
Rest Day,
"""The Chief""","Max rounds in 3 minutes of:
135 pound Power cleans, 3 reps
6 Push-ups
9 Squats"
Shoulder Press 3-3-3-3-3-3-3,Post loads to comments.
"Three rounds for time of:
30 Pull-ups
155 pound Deadlift, 30 reps
30 Box jump, 24 inch box",Deborah Cordner Carson 9:40. Post time to comments.
Rest Day,
"""Amanda""","Three rounds, 9-7- and 5 reps, for time of:
Muscle-up
135 pound Squat snatch"
"""Gwen""",Clean & Jerk 15-12- and 9 reps
"For time:
50 Double unders
50 Burpees
50 Wall ball shots, 20 pound ball
50 Back extensions
50 Push press, 45 pounds
50 Knees to elbows
Walking Lunge, 50 steps
50 Kettlebell swings, 1 pood
50 Jumping pull-ups
50 Box jump, 24 inch box",Christy Phillips 17:25. Post time to comments.
Rest Day,
"For time:
135 pound Thruster, 15 reps
Run 200 meters
95 pound Thruster, 20 reps
Run 400 meters
65 pound Thruster, 30 reps
Run 800 meters",Post time to comments.
"For time:
75 Handstand push-ups",At the beginning of each minute perform 20 Double-unders.
Deadlift 3-3-3-3-3 reps,Post loads to comments.
Rest Day,
"""Sean""","Ten rounds for time of:
11 Chest to bar pull-ups
75 pound Front squat, 22 reps"
Perform the following tests:,"L-sit for time.
Handstand walk for distance.
Chest to bar weighted pull-up for load.
Snatch 1 rep for load."
"Three rounds for time of:
35 pound Dumbbell squat snatch, 15 reps, right arm
15 GHD sit-ups
35 pound Dumbbell squat snatch, 15 reps, left arm
15 Toes to bar",Kristan Clever 7:59. Post time to comments.
Rest Day,
"""Fight Gone Bad!""","Three rounds of:
Wall-ball, 20 pound ball, 10 ft target (Reps)
Sumo deadlift high-pull, 75 pounds (Reps)
Box Jump, 20"" box (Reps)
Push-press, 75 pounds (Reps)
Row (Calories)"
Front squat 1-1-1-1-1-1-1 reps,"Candice Ruiz 175-195-205-215-230-240-245(f)lbs,
Allison King 90-95-100-105(f)-102.5-100-100(f)kgs.
Post loads to comments."
"For time:
30 Handstand push-ups
40 Pull-ups
50 Kettlebell swings, 1.5 poods
60 Sit-ups
70 Burpees",Neal Maddox 8:15. Post time to comments.
Rest Day,
Deadlift 5-5-5-5-5 reps,"Camden Clayton 315-365-405-455-495lbs, Matt Lefave 425-445-465-483(x3)-500(x3)lbs, Lis Saunders 255-270-285-300-315lbs.
Post loads to comments."
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
"""Karen""","For time:
150 Wallball shots, 20 pound ball"
Rest Day,
"Complete five rounds of:
On the rings, lower from an inverted hang, slowly, with straight body and arms, 7 reps
15 Ring Push-ups
Move SLOWLY and methodically attempting perfect execution. Ideally this is done with two pairs of rings - one pair hung app. 8' off the ground and the second 4"" off the ground.",Post impressions to comments.
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders","Jenny LaBaw 16:57 (20"" box, 14lb ball). Post time to comments."
Split Jerk 1-1-1-1-1-1-1 reps,Misiovala Tupe 315-325(f)-325-335-345-360-370lbs. Post loads to comments.
Rest Day,
"""Cindy""
Complete as many rounds in 20 minutes as you can of:
5 Pull-ups
10 Push-ups
15 Squats",OR
Overhead Squat 3-3-3-3-3 reps,"Rich Froning 245-265-285-305-335(fail)lbs, Dan Bailey 215-225-235-245-275lbs, Talayna Fortunato 170-180-190-200-205lbs.
Post loads to comments."
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Rest Day,
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
"Five rounds for time of:
10 Toes to bar
75 pound Power snatch, 10 reps
10 Wall ball shots, 20 pound ball",Marcus Hendren 6:33. Post time to comments.
"""Loredo""","Six rounds for time of:
24 Squats
24 Push-ups
24 Walking lunge steps
Run 400 meters"
Rest Day,
"For time:
Run 1000 meters
100 Push-ups
135 pound Snatch, 10 reps",Post time to comments.
Thruster 1-1-1-1-1-1-1 reps,Post loads to comments.
"Two rounds for time of:
Run 800 meters
30 Pull-ups
115 pound Front squat, 30 reps
30 Toes-to-bar
115 pound Power clean, 30 reps",Post time to comments.
Rest Day,
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
"Three rounds for time of:
50 Squats
7 Bar muscle-ups
135 pound Hang power snatch, 10 reps",Post time to comments.
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
Rest Day,
"Three rounds for time of:
Run 200 meters
7 Push presses, 70 pound dumbbells
14 Ring rows",Post time to comments.
"Complete as many rounds as possible in 20 minutes of:
5 Chest to bar Pull-ups
10 Wall ball shots, 20 pound ball
15 Kettlebell swings, 1.5 pood","Lindsey Smith 12 rounds + 5 Wall ball shots (14lb ball, 1 pood KB). Post rounds completed to comments."
Back squat 5-5-3-3-3-1-1-1-1-1 reps,Post loads to comments.
Rest Day,
"Five rounds for time of:
5 Back squats
10 GHD sit-ups","Tanya Wagner 3:51 at 175 lbs, Josh Wagner 4:04 at 275 lbs.
Post time and loads to comments."
"""Tabata This!""","Tabata Row
Rest 1 minute
Tabata Squat
Rest 1 minute
Tabata Pull-up
Rest 1 minute
Tabata Push-up
Rest 1 minute
Tabata Sit-up"
"Complete as many rounds and reps as possible in 12 minutes of:
155 pound Deadlift, 15 reps
15 Deficit push-ups, hands on 25 pound plates
15 Box jumps, 24"" box",Post rounds completed to comments.
Rest Day,
"For time:
50 Medicine ball cleans, 20 pound ball
15 foot Rope climb, 5 ascents
40 Medicine ball cleans, 20 pound ball
15 foot Rope climb, 4 ascents
30 Medicine ball cleans, 20 pound ball
15 foot Rope climb, 3 ascents
20 Medicine ball cleans, 20 pound ball
15 foot Rope climb, 2 ascents
10 Medicine ball cleans, 20 pound ball
15 foot Rope climb, 1 ascent",Post time to comments.
Zercher squat 2-2-2-2-2-2-2-2-2-2 reps,Post loads to comments.
2012 CrossFit Games Regional: Individual Event 3,"Four rounds for time of:
100 pound Dumbbell snatch, 10 reps
200 foot Sprint"
Rest Day,
"Five rounds for time of:
275 pound Deadlift, 7 reps
30 Squats
7 Handstand push-ups",Post time to comments.
Row 5K,Post time to comments.
"For time:
95 pound Overhead squat, 30 reps
7 Muscle-ups
95 pound Overhead squat, 20 reps
5 Muscle-ups",Post times to comments.
Rest Day,
Clean 3-3-3-3-3-3-3 reps,Post loads to comments.
"Five rounds for time of:
50 Double-unders
185 pound Push jerk, 10 reps
Rest 1 minute",Post times to comments.
"Complete as many rounds as possible in 15 minutes of:
8 Ring dips
10 Box jumps, 24"" box
95 pound barbell Overhead walking lunge, 12 steps",Post rounds completed to comments.
Rest Day,
"For time:
20 Wall ball shots, 20 pound ball
20 Sit-ups
20 Box jump, 24"" box
20 Push-ups
135 pound Clean, 20 reps
20 Double-unders
20 Thrusters, 35 pound dumbbells
20 Pull-ups
95 pound Overhead squat, 20 reps
20 Kettlebell swings, 1.5 poods
95 pound Push press, 20 reps
20 Dips
95 pound Sumo deadlift high pull, 20 reps
20 Burpees
135 pound Back squat, 20 reps
20 GHD sit-ups
20 Walking lunge steps
135 pound Deadlift, 20 reps
20 Knees to elbows
135 pound Front squat, 20 reps",Post time to comments.
Weighted pull-ups 3-3-3-3-3 reps,Post loads and body weight to comments.
"""Fight Gone Bad!""","Three rounds of:
Wall-ball, 20 pound ball, 10 ft target (Reps)
Sumo deadlift high-pull, 75 pounds (Reps)
Box Jump, 20"" box (Reps)
Push-press, 75 pounds (Reps)
Row (Calories)"
Rest Day,
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
"Three rounds for time of:
10 Weighted toes-to-bar, 8 pound ball
Row 200 meters with straight legs
10 Rower-facing burpees
Row 200 meters with straight arms",Post times to comments.
"For time:
5 Front squats
25 pull-ups
4 Front squats
20 pull-ups
3 Front squats
15 pull-ups
2 Front squats
10 pull-ups
1 Front squat
5 pull-ups",Post time and loads to comments.
Rest Day,
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
CrossFit Games Open 12.1,"Complete as many reps as possible in 7 minutes of:
Burpees"
"""Weston""","Five rounds for time of:
Row 1000 meters
200 meter Farmer carry, 45 pound dumbbells
45 pound dumbbell Waiter walk, 50 meters, Right arm
45 pound dumbbell Waiter walk, 50 meters, Left arm"
Rest Day,
"Complete as many rounds as possible in 20 minutes of:
Run 400 meters
Then three rounds of:
5 Pull-ups
10 Push-ups
15 Squats",Post rounds completed to comments.
Snatch 3-3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"Five rounds for time of:
Run 400 meters
20 Burpees
15 Two-hand dumbbell Bent over row, 50 pounds each",Post time to comments.
Rest Day,
Back Squat 2-2-2-2-2-2-2-2-2-2 reps,Post loads to comments.
"""Barbara""","Five rounds, each for time of:
20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats"
"Seven rounds for time of:
75 pound Thruster, 12 reps
9 Toes-to-bar
Run 200 meters with a 20 pound medicine ball",Post time to comments.
Rest Day,
"""Clovis""","For time:
Run 10 miles
150 Burpee pull-ups"
Snatch Balance 3-3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Ralph""","Four rounds for time of:
250 pound Deadlift, 8 reps
16 Burpees
15 foot Rope climb, 3 ascents
Run 600 meters"
Rest Day,
"For time:
30 Handstand push-ups
50 Back Extensions
30 Knees to elbows
225 pound Deadlift, 30 reps
40 pound Dumbbell push press, 30 reps
50 Kettlebell swings, 1.5 pood
Row 20 calories
10 Muscle-ups",Post time to comments.
"Five rounds for time of:
155 pound Power clean and jerk, 10 reps
15 foot Rope climb, legless, 1 ascent",Post time to comments.
Front Squat 1-10-1-20-1-30 reps,Post loads to comments.
Rest Day,
2010 Northwest Regional Event 1,"Three rounds for time of:
135 pound Overhead squat, 10 reps
50 Double-unders"
"Three rounds for time of:
Row 500 meters
21 Burpees
Run 400 meters",Post time to comments.
"10 rounds for time of:
Deadlift, 3 reps
1 Back tuck",Post time and loads to comments.
Rest Day,
"""Kelly""","Five rounds for time of:
Run 400 meters
30 Box jump, 24 inch box
30 Wall ball shots, 20 pound ball"
Power snatch 1-1-1-1-1-1-1 reps,Post loads to comments.
"Two rounds for time of:
50 Pull-ups
75 Sit-ups
75 pound Overhead squat, 50 reps
75 Double-unders",Post time to comments.
Rest Day,
Split jerk 2-2-2-2-2-2-2-2-2-2 reps,Alternate stance for each rep.
"For time:
Row 500 meters
Body weight Bench press, 30 reps
Row 1000 meters
Body weight Bench press, 20 reps
Row 2000 meters
Body weight Bench press, 10 reps",Post time to comments.
"21-18-15-12-9-6-3 reps for time of:
95 pound Sumo deadlift high pull
Lateral jumps, over 24"" obstacle",Post time to comments.
Rest Day,
"Five rounds for time of:
115 pound Push press, 12 reps
40 meter Shuttle sprint (4 x 10 meters)
115 pound Squat snatch, 8 reps",Post times to comments.
"For time:
25 GHD sit-ups
1 Muscle-up
20 GHD sit-ups
2 Muscle-ups
15 GHD sit-ups
3 Muscle-ups
10 GHD sit-ups
4 Muscle-ups
5 GHD sit-ups
5 Muscle-ups",Post time to comments.
"1000 meter Row
Rest 4 minutes
Dumbbell ""Tabata"" Thrusters",Compare to 020924.
Rest Day,
"For time:
225 pound Hang clean, 30 reps
50 One-legged squats, alternating
Row 2000 meters",Post time to comments.
"Run 1600 meters
Rest 3 minutes
Run 1200 meters
Rest 2 minutes
Run 800 meters
Rest 1 minute
Run 400 meters",Post times to comments.
"Three rounds for time of:
45 pound Sots press, 15 reps
Handstand walk 15 meters
20 second L-sit hold
Handstand walk 15 meters",Post time to comments.
Rest Day,
"""Tom""","Complete as many rounds in 25 minutes as you can of:
7 Muscle-ups
155 pound Thruster, 11 reps
14 Toes-to-bar"
Weighted dip 3-2-2-2-1-1-1-1-1 reps,Post loads to comments.
"""Glen""","For time:
135 pound Clean and jerk, 30 reps
Run 1 mile
15 foot Rope climb, 10 ascents
Run 1 mile
100 Burpees"
Rest Day,
Push press 3-3-3-3-3-3-3 reps,Post loads to comments.
"Three rounds for time of:
45 pound GHD Bench press, 15 reps
25 Back extensions
Run 800 meters",Post time to comments.
"For time:
100 ft Walking lunge
50 Push-ups
50 Double-unders
25 Knees to elbows
5 Rope climb, 15 ft
50 Box jump, 24 inch box
25 Overhead squats, 65 pounds
25 L-pull-ups
50 Sit-ups",Post time to comments.
Rest Day,
"For time:
100 Burpee pull-ups","Ideally, the pull-up bar is one foot above your reach."
"Three rounds for time of:
135 pound Squat clean, 10 reps
20 Box jump, 24"" box",Post time to comments.
Deadlift 5-5-5-5-5 reps,Post loads to comments.
Rest Day,
"""Nate""","Complete as many rounds in twenty minutes as you can of:
2 Muscle-ups
4 Handstand Push-ups
8 2-Pood Kettlebell swings"
Run 5K,Post time to comments.
"Five rounds for time of:
Row 500 meters
135 pound Bench press, 15 reps.",Post time to comments.
Rest Day,
"Three rounds for time of:
100 meter Walking lunge
Handstand walk 20 meters
50 Kettlebell swings, 1 pood",Post time to comments.
Back Squat 5-5-5-5-5 reps,Post loads to comments.
"For time:
100 L-Pull-ups",Post time to comments.
Rest Day,
Shoulder Press 3-3-3-3-3-3-3,Post loads to comments.
"""Adrian""","Seven rounds for time of:
3 Forward rolls
5 Wall climbs
7 Toes to bar
9 Box jumps, 30"" box"
"21-15-9 reps for time of:
GHD Wall ball, 10 pound ball
Wallball ""2-fer-1s"", 20 pound ball",Post time to comments.
Rest Day,
Weighted pull-ups 1-1-1-1-1-1-1 reps,Post loads and body weight to comments.
"21-15-9 reps of:
225 pound Deadlift
135 pound Overhead squat",Post time to comments.
"""Angie""","For time:
100 Pull-ups
100 Push-ups
100 Sit-ups
100 Squats"
Rest Day,
"For time:
185 pound Clean and jerk, 30 reps",Yurii Hanson 3:06. Post time to comments.
"Five rounds for time of:
15 Walking lunge steps, carrying a 95 pound barbell in the front rack position
30 Double-unders",Post time to comments.
"Four rounds for time of:
15 foot Rope climb, 3 ascents
30 Push-ups
30 Sit-ups",Post time to comments.
Rest Day,
"For time:
Row 500 meters
50 Wall ball shots, 20 pound ball
Row 400 meters
40 Wall ball shots, 20 pound ball
Row 300 meters
30 Wall ball shots, 20 pound ball
Row 200 meters
20 Wall ball shots, 20 pound ball
Row 100 meters
10 Wall ball shots, 20 pound ball",Post time to comments.
"""The Seven""","Seven rounds for time of:
7 Handstand push-ups
135 pound Thruster, 7 reps
7 Knees to elbows
245 pound Deadlift, 7 reps
7 Burpees
7 Kettlebell swings, 2 pood
7 Pull-ups"
Split snatch 2-2-2-2-2-2-2 reps,Alternate legs for each rep.
Rest Day,
"Eight rounds for max reps of:
115 pound Hang power clean, 20 seconds
Rest 10 seconds
115 pound Push press, 20 seconds
Rest 10 seconds",Post total hang cleans and total push presses to comments.
